latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
13.1842,80.3035,345.2,0.41,0.37,2026-08-24,1842,N,VIIRS,high,2.0NRT,298.4,42.6,N
13.1845,80.3041,341.8,0.41,0.37,2026-08-23,1837,N,VIIRS,high,2.0NRT,296.1,38.2,N
13.1839,80.3038,339.4,0.42,0.38,2026-08-22,1848,N,VIIRS,nominal,2.0NRT,294.8,31.7,N
13.1851,80.3050,348.9,0.40,0.36,2026-08-21,1851,N,VIIRS,high,2.0NRT,301.2,51.4,N
13.1840,80.3032,336.1,0.41,0.37,2026-08-20,1833,N,VIIRS,nominal,2.0NRT,293.5,24.8,N
13.1608,80.2594,352.6,0.39,0.45,2026-08-25,0742,N,VIIRS,high,2.0NRT,312.4,67.3,D
13.1612,80.2589,349.1,0.39,0.45,2026-08-24,0738,N,VIIRS,high,2.0NRT,308.7,58.9,D
13.1605,80.2598,344.3,0.40,0.46,2026-08-18,0751,N,VIIRS,nominal,2.0NRT,304.2,41.1,D
13.0827,80.2707,332.4,0.48,0.52,2026-08-25,1912,N,VIIRS,nominal,2.0NRT,291.6,18.4,N
13.0214,80.1756,338.7,0.44,0.41,2026-08-24,1904,N,VIIRS,nominal,2.0NRT,295.3,22.9,N
13.0218,80.1762,334.2,0.44,0.41,2026-08-17,1858,N,VIIRS,low,2.0NRT,292.1,14.2,N
12.9561,80.2412,341.5,0.43,0.39,2026-08-25,0821,N,VIIRS,high,2.0NRT,299.8,28.6,D
13.1064,80.2921,329.8,0.50,0.48,2026-08-25,1928,N,VIIRS,low,2.0NRT,289.4,9.7,N
13.2587,80.3214,355.4,0.38,0.42,2026-08-25,0716,N,VIIRS,high,2.0NRT,318.6,88.2,D
13.2591,80.3208,351.0,0.38,0.42,2026-08-24,0712,N,VIIRS,high,2.0NRT,314.1,74.5,D
13.2584,80.3219,347.8,0.39,0.43,2026-08-23,0724,N,VIIRS,high,2.0NRT,310.8,61.3,D
13.2589,80.3211,343.2,0.38,0.42,2026-08-10,0708,N,VIIRS,nominal,2.0NRT,305.4,39.6,D
13.0478,80.1184,336.9,0.46,0.44,2026-08-24,0804,N,VIIRS,nominal,2.0NRT,294.7,19.5,D
13.0472,80.1191,333.1,0.46,0.44,2026-08-12,0811,N,VIIRS,low,2.0NRT,291.2,12.8,D
12.8994,80.2278,340.2,0.42,0.40,2026-08-25,1936,N,VIIRS,nominal,2.0NRT,296.4,21.3,N
13.1986,80.1624,331.7,0.49,0.47,2026-08-23,0842,N,VIIRS,low,2.0NRT,288.9,8.4,D
13.1395,80.2318,346.3,0.41,0.38,2026-08-25,1858,N,VIIRS,high,2.0NRT,300.1,36.8,N
13.1398,80.2322,342.9,0.41,0.38,2026-08-22,1852,N,VIIRS,nominal,2.0NRT,297.4,29.1,N
13.0068,80.2945,337.5,0.45,0.43,2026-08-24,0756,N,VIIRS,nominal,2.0NRT,293.8,17.6,D
13.2234,80.2781,350.8,0.40,0.41,2026-08-25,1908,N,VIIRS,high,2.0NRT,307.2,54.7,N
13.2231,80.2776,348.4,0.40,0.41,2026-08-24,1914,N,VIIRS,high,2.0NRT,304.9,47.2,N
13.2237,80.2785,344.6,0.41,0.42,2026-08-23,1901,N,VIIRS,nominal,2.0NRT,301.3,39.8,N
12.9802,80.1633,328.4,0.51,0.49,2026-08-21,0833,N,VIIRS,low,2.0NRT,287.6,7.1,D
13.0721,80.2498,339.9,0.44,0.40,2026-08-25,0748,N,VIIRS,nominal,2.0NRT,296.8,23.4,D
13.2510,80.1987,334.6,0.47,0.45,2026-08-20,1922,N,VIIRS,nominal,2.0NRT,292.3,15.9,N
13.1148,80.1542,342.1,0.43,0.39,2026-08-25,0816,N,VIIRS,high,2.0NRT,298.9,27.5,D
13.0889,80.2914,330.5,0.48,0.46,2026-08-19,1856,N,VIIRS,low,2.0NRT,289.1,10.2,N
13.1722,80.2215,347.0,0.40,0.37,2026-08-25,0731,N,VIIRS,high,2.0NRT,306.5,45.1,D
13.1718,80.2210,343.7,0.40,0.37,2026-08-16,0727,N,VIIRS,nominal,2.0NRT,302.1,33.8,D
13.0356,80.2089,335.8,0.46,0.44,2026-08-24,1944,N,VIIRS,nominal,2.0NRT,293.2,16.7,N
