latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
11.5982,76.5412,368.4,0.38,0.36,2026-08-25,1342,N,VIIRS,high,2.0NRT,324.6,142.8,D
11.6021,76.5489,364.1,0.38,0.36,2026-08-25,1342,N,VIIRS,high,2.0NRT,321.2,128.5,D
11.5910,76.5350,358.9,0.39,0.37,2026-08-25,1344,N,VIIRS,high,2.0NRT,316.8,94.2,D
11.6085,76.5540,352.3,0.39,0.37,2026-08-25,0140,N,VIIRS,high,2.0NRT,308.1,76.4,N
11.5840,76.5280,346.7,0.40,0.38,2026-08-24,1348,N,VIIRS,nominal,2.0NRT,302.5,58.1,D
11.6150,76.5610,341.2,0.41,0.39,2026-08-24,1348,N,VIIRS,nominal,2.0NRT,298.4,42.0,D
11.5790,76.5210,336.8,0.42,0.40,2026-08-23,1352,N,VIIRS,nominal,2.0NRT,294.1,31.6,D
11.6210,76.5680,332.5,0.43,0.41,2026-08-23,0150,N,VIIRS,low,2.0NRT,290.2,18.9,N
11.5720,76.5140,328.4,0.44,0.42,2026-08-22,1358,N,VIIRS,low,2.0NRT,286.7,11.2,D

